throughput,congestion,packet_loss,latency,jitter,isRouterV6,Planned route,Percentage video occupancy,Bitrate video,Number videos,anomaly
1.25,11.09,15.0,6.27,0.72,1,1,10,167,2,0
1.8,43.18,17.5,9.88,0.94,0,0,50,835,1,0
3.13,14.17,7.5,10.36,0.69,0,0,10,167,1,0
3.28,6.59,17.5,10.6,0.54,0,0,10,167,2,0
2.46,0.06,0.0,5.32,0.54,1,1,0,0,0,0
2.12,20.07,12.5,4.78,0.61,1,1,20,334,2,0
2.7,0.12,0.0,7.42,0.78,1,1,0,0,0,0
4.75,66.32,12.5,10.82,2.72,0,0,10,167,1,1
2.19,0.11,0.0,7.44,0.57,1,1,20,334,2,0
1.25,57.14,2.5,3028.22,1.05,1,1,120,2004,1,0
2.28,21.07,0.0,10.61,1.16,0,0,20,334,2,0
2.52,11.55,0.0,5.45,0.87,1,1,10,167,2,0
1.83,14.38,0.0,10.45,1.1,0,0,10,167,1,0
0.32,75.8,0.0,5.12,0.92,1,1,80,1336,1,0
2.89,19.66,0.0,5.28,0.57,1,1,20,334,1,0
0.68,65.42,10.0,8.43,1.34,1,1,50,835,2,0
2.72,0.07,0.0,7.27,0.31,1,1,80,1336,2,0
1.77,116.26,12.5,5.77,0.58,1,1,50,835,2,0
0.16,31.8,0.0,10.39,1.72,0,0,50,835,2,1
1.49,0.15,15.0,10.5,1.13,0,0,0,0,2,0
0.88,47.23,0.0,8.97,0.96,0,0,10,167,4,0
1.88,20.02,0.0,10.32,0.95,0,0,20,334,2,0
0.58,57.51,7.5,5.78,0.4,1,1,80,1336,1,0
2.91,5.55,10.0,10.59,0.83,0,0,10,167,1,0
1.47,10.31,0.0,7.39,0.85,1,1,10,167,2,0
1.67,0.55,0.0,5.47,0.39,1,1,0,0,0,0
1.97,0.08,0.0,7.14,0.5,1,1,0,0,0,0
1.92,6.75,0.0,5.43,1.69,1,1,10,167,1,0
2.22,0.05,0.0,5.93,0.5,1,1,0,0,0,0
1.88,0.05,0.0,5.93,0.36,1,1,0,0,0,0
2.67,0.59,0.0,5.59,0.66,1,1,0,0,0,0
0.42,56.29,0.0,5.6,1.0,1,1,50,835,1,0
2.89,9.65,0.0,10.58,0.93,0,0,10,167,1,0
0.13,92.64,0.0,5.05,1.12,1,1,100,1670,1,1
2.6,0.03,5.0,10.92,3.6,0,0,80,1336,2,0
1.88,12.68,12.5,9.8,0.68,0,0,10,167,1,0
5.09,15.03,0.0,10.31,1.95,0,0,10,167,2,1
1.61,44.33,2.5,5.28,0.57,1,1,50,835,1,0
0.72,58.43,7.5,3051.32,1.14,1,1,80,1336,2,0
2.48,8.8,0.0,6.63,0.61,1,1,10,167,1,0
2.42,0.05,0.0,11.01,0.66,0,0,0,0,0,0
1.57,0.06,0.0,7.87,0.4,1,1,0,0,0,0
0.19,85.17,12.5,12.03,1.07,0,0,80,1336,1,0
2.1,36.63,0.0,5.78,0.85,1,1,20,334,2,0
1.16,47.62,10.0,9.95,0.96,0,0,10,167,4,0
0.26,0.09,0.0,5.6,0.74,1,1,80,1336,2,0
2.44,9.91,0.0,7.55,0.52,1,1,10,167,1,0
3.24,56.67,0.0,10.24,1.15,0,0,50,835,1,0
2.65,0.12,0.0,5.64,0.58,1,1,0,0,0,0
0.69,42.93,0.0,8.95,0.94,0,0,50,835,1,0
1.61,19.59,0.0,7.77,0.57,1,1,20,334,2,0
2.61,0.07,0.0,11.53,0.42,0,0,0,0,0,0
2.62,0.09,0.0,11.02,0.8,0,0,0,0,0,0
2.47,0.31,0.0,9.91,0.85,0,0,0,0,0,0
2.95,19.68,0.0,7.6,0.76,1,1,20,334,2,0
2.33,0.53,0.0,10.78,0.38,0,0,0,0,0,0
0.45,113.35,27.500000000000004,1037.22,0.54,1,1,120,2004,1,1
2.88,15.61,7.5,10.16,0.94,0,0,10,167,2,0
3.01,14.33,10.0,7.27,0.44,1,1,10,167,1,0
1.26,12.71,0.0,6.81,0.51,1,1,10,167,1,0
0.35,84.25,0.0,7.05,1.58,1,1,80,1336,1,0
2.92,57.77,27.500000000000004,5.35,1.1,1,1,100,1670,2,0
1.71,0.07,0.0,6.95,0.66,1,1,0,0,0,0
2.94,13.77,0.0,10.15,1.29,0,0,10,167,1,0
0.49,86.82,27.500000000000004,1023.56,0.56,1,1,120,2004,2,1
2.54,110.54,12.5,7.26,0.74,1,1,80,1336,1,0
0.88,38.12,0.0,5.25,1.91,1,1,50,835,1,0
0.37,61.52,7.5,5.75,0.9,1,1,80,1336,1,0
2.93,0.05,30.0,6.93,0.83,1,1,80,1336,2,0
2.32,0.13,0.0,10.54,0.96,0,0,0,0,0,0
0.05,99.02,0.0,5.74,1.02,1,1,120,2004,2,1
2.63,0.08,0.0,10.2,4.19,0,0,0,0,0,0
0.57,55.25,0.0,7.74,0.51,1,1,100,1670,1,0
1.48,13.12,0.0,6.25,0.67,1,1,10,167,2,0
2.24,11.29,0.0,9.93,0.63,0,0,10,167,1,0
2.66,0.08,0.0,7.63,0.66,1,1,0,0,0,0
0.39,33.58,0.0,7.79,1.03,1,1,50,835,1,0
0.33,96.65,0.0,7.37,0.67,1,1,80,1336,1,0
2.55,10.04,7.5,9.2,0.92,0,0,10,167,1,0
2.69,20.49,0.0,9.05,1.1,0,0,50,835,1,0
0.9,39.13,0.0,10.19,0.98,0,0,10,167,4,0
0.43,99.03,2.5,10.16,0.65,0,0,100,1670,1,0
2.64,56.1,32.5,7.36,0.45,1,1,80,1336,2,0
1.89,0.07,0.0,6.63,0.54,1,1,0,0,0,0
2.16,5.89,0.0,5.91,0.61,1,1,10,167,1,0
2.14,15.78,17.5,5.48,0.45,1,1,10,167,2,0
1.29,19.7,7.5,7.23,0.83,1,1,20,334,1,0
2.27,0.1,0.0,5.61,0.83,1,1,0,0,1,0
2.77,14.58,7.5,9.62,0.61,0,0,10,167,1,0
3.36,0.31,17.5,6.0,0.44,1,1,0,0,0,0
1.92,0.57,0.0,5.31,0.27,1,1,0,0,0,0
1.85,0.07,0.0,7.15,0.48,1,1,20,334,2,0
2.13,0.03,0.0,10.8,0.42,0,0,0,0,0,0
0.21,50.87,7.5,7.39,1.58,1,1,50,835,2,0
1.69,0.07,0.0,10.15,0.39,0,0,0,0,0,0
1.74,20.39,15.0,7.06,0.5,1,1,20,334,2,0
1.75,0.05,0.0,8.02,0.67,1,1,0,0,0,0
2.26,21.59,0.0,10.34,0.94,0,0,10,167,2,0
2.91,117.39,12.5,5.54,1.37,1,1,120,2004,2,0
2.29,16.28,0.0,10.43,0.58,0,0,10,167,2,0
2.71,0.05,0.0,5.95,0.23,1,1,0,0,0,0
2.79,0.39,0.0,7.25,0.34,1,1,0,0,0,0
1.86,10.34,0.0,10.3,0.58,0,0,10,167,1,0
1.64,14.38,0.0,8.91,1.06,0,0,10,167,2,0
2.42,0.53,0.0,10.24,0.45,0,0,0,0,0,0
2.28,19.66,0.0,6.47,0.52,1,1,20,334,1,0
3.19,0.07,0.0,10.4,0.88,0,0,0,0,0,0
0.96,40.69,12.5,5.24,7.33,1,1,50,835,1,0
1.6,16.06,5.0,11.17,1.28,0,0,10,167,1,0
1.48,41.49,0.0,8.21,0.56,0,0,10,167,4,0
2.02,0.53,0.0,7.22,0.41,1,1,0,0,1,0
2.34,16.01,0.0,9.19,0.91,0,0,10,167,1,0
2.38,27.07,15.0,10.61,0.71,0,0,10,167,3,0
1.85,0.08,12.5,5.87,0.94,1,1,0,0,0,0
1.51,20.72,0.0,10.21,1.57,0,0,20,334,2,0
2.0,0.08,0.0,6.29,0.23,1,1,0,0,0,0
1.75,19.96,0.0,6.53,0.51,1,1,20,334,2,0
1.27,22.06,17.5,8.33,1.53,1,1,50,835,1,1
2.26,12.78,0.0,9.71,0.35,0,0,10,167,1,0
0.88,20.52,0.0,7.61,0.61,1,1,20,334,2,0
2.51,53.72,22.5,7.8,1.14,1,1,50,835,1,0
2.61,14.39,0.0,9.71,0.66,0,0,10,167,1,0
1.46,55.62,10.0,1006.02,0.36,1,1,100,1670,2,0
0.17,112.59,30.0,6.87,0.18,1,1,80,1336,2,1
3.6,0.09,17.5,5.79,0.44,1,1,0,0,0,0
2.82,0.09,0.0,5.94,0.46,1,1,0,0,0,0
1.63,20.39,0.0,5.16,0.36,1,1,20,334,1,0
1.31,11.55,0.0,9.73,0.77,0,0,10,167,2,0
2.09,0.05,0.0,7.23,0.57,1,1,0,0,0,0
2.36,20.98,12.5,7.23,0.65,1,1,20,334,1,0
2.07,0.07,0.0,5.91,0.51,1,1,0,0,0,0
1.69,0.08,0.0,5.77,0.55,1,1,0,0,1,0
2.35,0.07,0.0,7.45,0.89,1,1,0,0,2,0
2.02,12.78,0.0,9.24,0.41,0,0,10,167,2,0
2.27,0.18,0.0,7.1,0.55,1,1,0,0,1,0
1.99,0.07,0.0,6.83,0.5,1,1,0,0,0,0
2.95,0.32,0.0,5.78,0.37,1,1,20,334,2,0
1.41,0.06,0.0,5.83,0.52,1,1,0,0,0,0
1.76,0.11,0.0,5.36,0.54,1,1,0,0,0,0
0.19,86.75,2.5,5.84,0.59,1,1,100,1670,1,0
2.77,0.06,0.0,5.83,0.32,1,1,0,0,0,0
1.99,0.06,0.0,10.66,1.13,0,0,0,0,0,0
1.67,112.97,0.0,10.79,1.28,0,0,100,1670,1,0
2.91,19.54,0.0,9.62,0.95,0,0,20,334,1,0
2.45,0.55,0.0,7.15,0.4,1,1,120,2004,1,0
1.8,13.35,0.0,7.04,0.7,1,1,10,167,1,0
1.84,11.81,0.0,6.55,0.7,1,1,10,167,2,0
1.23,11.98,0.0,10.31,0.93,0,0,10,167,1,0
2.27,53.9,15.0,9.4,0.7,0,0,10,167,5,0
2.07,0.12,0.0,6.81,0.29,1,1,0,0,0,0
1.98,19.93,15.0,11.33,0.9,0,0,20,334,1,0
2.59,0.03,27.500000000000004,5.96,0.29,1,1,80,1336,2,0
1.78,0.07,0.0,5.6,0.27,1,1,0,0,0,0
0.22,112.74,20.0,3049.5,0.61,1,1,80,1336,1,1
0.7,50.13,5.0,7.14,1.1,1,1,50,835,1,0
0.28,50.62,0.0,9.73,0.95,0,0,50,835,2,0
2.49,100.18,5.0,8.54,0.67,0,0,10,167,4,0
2.47,134.37,27.500000000000004,8.29,0.44,1,1,100,1670,1,1
2.7,26.57,17.5,10.88,2.67,0,0,10,167,6,1
0.32,116.1,0.0,6.47,1.16,1,1,100,1670,1,0
0.28,101.64,7.5,5.29,1.22,1,1,120,2004,2,0
2.48,0.09,0.0,7.26,0.66,1,1,0,0,0,0
2.12,10.88,0.0,10.75,1.35,0,0,10,167,2,0
0.61,45.6,2.5,5.77,0.58,1,1,50,835,1,0
1.19,11.69,0.0,7.19,0.74,1,1,10,167,2,0
1.85,0.09,0.0,5.66,0.28,1,1,0,0,0,0
2.75,0.07,0.0,7.42,0.55,1,1,0,0,0,0
2.37,0.09,0.0,9.64,2.7,0,0,0,0,0,0
1.44,0.06,0.0,5.65,0.96,1,1,0,0,0,0
1.29,70.86,25.0,10.16,1.78,0,0,80,1336,1,1
2.45,0.08,0.0,6.98,0.57,1,1,20,334,2,0
2.39,0.09,0.0,10.09,0.58,0,0,0,0,0,0
1.42,0.07,0.0,5.63,0.39,1,1,50,835,1,0
1.48,55.29,7.5,1028.46,3.06,1,1,120,2004,1,1
1.69,14.63,0.0,6.3,0.42,1,1,10,167,1,0
1.65,10.74,0.0,10.41,0.82,0,0,10,167,1,0
1.11,55.47,32.5,7.31,1.76,1,1,80,1336,1,1
0.18,52.57,2.5,5.06,0.46,1,1,50,835,2,0
1.43,10.55,0.0,5.29,0.44,1,1,20,334,1,0
1.45,20.75,0.0,10.49,0.92,0,0,20,334,2,0
1.66,47.69,10.0,9.98,0.75,0,0,10,167,4,0
0.16,90.86,12.5,12.51,0.84,0,0,100,1670,1,1
2.71,0.06,0.0,7.63,1.0,1,1,0,0,2,0
1.03,0.03,2.5,6.0,1.41,1,1,80,1336,2,0
1.96,49.52,0.0,7.03,0.28,1,1,80,1336,1,0
2.4,32.76,0.0,5.87,0.61,1,1,100,1670,2,0
1.09,83.62,7.5,11.27,1.33,0,0,10,167,4,0
1.0,19.88,0.0,5.48,0.69,1,1,20,334,2,0
1.89,0.44,0.0,5.47,0.48,1,1,0,0,0,0
1.43,0.08,0.0,7.27,0.51,1,1,0,0,0,0
3.01,19.63,0.0,6.48,1.13,1,1,20,334,2,0
2.48,20.18,0.0,4.48,0.56,1,1,20,334,2,0
3.0,61.29,7.5,5.56,0.34,1,1,100,1670,2,0
2.5,12.59,0.0,5.27,0.42,1,1,10,167,2,0
2.37,19.78,10.0,10.31,0.72,0,0,20,334,2,0
0.64,38.56,7.5,8.7,1.32,0,0,10,167,4,0
2.68,20.54,5.0,6.92,0.45,1,1,20,334,1,0
1.76,0.14,0.0,11.24,0.68,0,0,0,0,2,0
1.5,55.59,2.5,10.5,0.7,0,0,10,167,5,0
0.26,61.14,0.0,6.85,1.0,1,1,80,1336,2,0
1.64,20.47,0.0,7.5,0.68,1,1,20,334,2,0
1.81,10.06,0.0,7.15,0.56,1,1,10,167,2,0
1.62,75.73,12.5,1013.89,1.04,1,1,80,1336,2,0
1.91,0.11,15.0,10.56,0.97,0,0,0,0,1,0
2.03,0.07,27.500000000000004,5.76,0.57,1,1,50,835,2,0
2.43,66.29,12.5,5.42,0.54,1,1,80,1336,2,0
1.74,19.77,0.0,5.64,1.0,1,1,20,334,1,0
0.62,53.1,12.5,6.82,0.89,1,1,50,835,1,0
2.61,20.64,0.0,10.27,1.19,0,0,20,334,1,0
2.46,6.6,0.0,5.79,0.35,1,1,10,167,1,0
1.87,0.11,0.0,5.77,0.3,1,1,0,0,0,0
1.88,0.07,15.0,7.66,0.73,1,1,0,0,0,0
2.19,0.06,0.0,6.95,0.46,1,1,0,0,1,0
2.67,0.1,0.0,10.01,0.55,0,0,0,0,0,0
0.88,54.4,40.0,10.61,1.29,0,0,80,1336,1,0
2.4,0.74,0.0,7.62,0.77,1,1,0,0,2,0
2.33,15.32,17.5,7.12,0.89,1,1,20,334,1,0
0.29,0.08,0.0,5.02,0.33,1,1,100,1670,2,0
2.34,0.12,0.0,10.32,0.49,0,0,0,0,0,0
1.94,0.1,0.0,7.66,0.44,1,1,0,0,0,0
2.25,0.3,0.0,10.58,0.39,0,0,0,0,1,0
1.71,16.37,7.5,6.55,0.69,1,1,10,167,1,0
1.96,69.62,15.0,1031.94,1.0,0,0,80,1336,1,0
2.42,0.06,0.0,10.37,8.56,0,0,0,0,0,0
2.15,0.38,0.0,6.58,0.52,1,1,0,0,0,0
2.26,11.49,10.0,7.09,0.91,1,1,10,167,1,0
2.36,0.08,0.0,12.4,0.64,0,0,0,0,1,0
1.74,0.07,15.0,6.85,0.71,1,1,20,334,2,0
1.13,71.55,25.0,1018.6,0.89,0,0,50,835,2,1
2.4,11.58,0.0,6.37,0.54,1,1,10,167,2,0
1.19,59.45,5.0,5.68,4.63,1,1,100,1670,2,0
1.88,0.3,0.0,6.39,0.44,1,1,0,0,2,0
2.05,0.03,0.0,6.9,0.59,1,1,0,0,0,0
2.03,0.07,12.5,7.72,0.88,1,1,0,0,0,0
2.33,56.43,5.0,7.55,0.63,1,1,120,2004,1,0
1.63,15.16,0.0,5.91,0.4,1,1,10,167,2,0
0.3,41.9,0.0,6.3,1.59,1,1,50,835,2,0
1.5,17.62,0.0,9.72,1.92,0,0,10,167,1,0
2.62,0.08,0.0,5.65,0.34,1,1,0,0,0,0
0.7,38.97,10.0,9.27,1.09,0,0,10,167,4,0
2.55,0.03,0.0,7.19,0.32,1,1,0,0,0,0
0.14,104.66,12.5,5.52,0.42,1,1,100,1670,1,1
1.29,0.06,10.0,10.8,0.53,0,0,80,1336,2,0
2.0,0.05,0.0,6.02,0.36,1,1,0,0,0,0
0.36,59.67,0.0,5.57,0.49,1,1,120,2004,1,0
1.83,0.51,0.0,7.55,0.4,1,1,0,0,0,0
2.42,0.09,0.0,11.53,0.6,1,1,0,0,1,0
1.5,10.42,0.0,5.57,0.38,1,1,10,167,2,0
2.45,11.13,0.0,6.99,0.5,1,1,10,167,1,0
2.64,0.07,0.0,7.77,0.66,1,1,0,0,0,0
1.85,11.89,0.0,5.86,0.49,1,1,10,167,2,0
3.25,89.45,17.5,6.88,1.9,1,1,80,1336,2,1
2.41,0.08,0.0,7.47,0.39,1,1,0,0,0,0
1.14,0.07,5.0,5.67,0.35,1,1,50,835,2,0
1.39,0.03,0.0,6.93,1.17,1,1,0,0,0,0
2.48,0.07,0.0,5.5,0.61,1,1,0,0,0,0
2.91,7.49,0.0,10.03,1.47,0,0,10,167,1,0
2.22,0.1,0.0,7.77,0.95,1,1,0,0,0,0
2.2,0.06,0.0,6.94,0.51,1,1,120,2004,1,0
1.83,0.09,0.0,10.29,0.63,0,0,0,0,0,0
2.36,0.11,17.5,7.31,0.65,1,1,0,0,0,0
2.28,0.07,0.0,10.46,0.49,0,0,0,0,1,0
2.61,0.06,0.0,7.84,3.67,1,1,0,0,0,0
1.9,0.53,0.0,6.76,0.51,1,1,0,0,0,0
2.05,0.16,0.0,5.82,0.34,1,1,0,0,0,0
2.19,0.05,0.0,11.79,0.48,0,0,10,167,2,0
0.11,78.55,35.0,5.66,0.46,1,1,100,1670,2,1
2.07,0.05,0.0,6.22,0.46,1,1,0,0,0,0
1.91,0.08,0.0,10.84,0.75,0,0,0,0,0,0
1.83,21.23,0.0,9.28,1.26,0,0,10,167,4,0
1.97,19.91,0.0,5.45,0.5,1,1,20,334,1,0
2.71,0.07,0.0,7.67,0.58,1,1,0,0,0,0
1.95,109.26,52.5,1015.83,1.08,0,0,100,1670,1,1
2.7,19.86,0.0,5.28,0.64,1,1,20,334,1,0
2.15,13.01,0.0,5.55,0.35,1,1,10,167,1,0
1.44,37.95,7.5,9.39,0.61,0,0,10,167,2,0
3.21,0.1,17.5,7.35,0.76,1,1,0,0,2,0
2.58,0.07,0.0,7.38,0.45,1,1,0,0,0,0
2.03,0.08,0.0,11.61,0.46,0,0,10,167,1,0
1.14,35.75,0.0,10.09,1.1,0,0,10,167,2,0
1.72,0.11,0.0,6.6,0.37,1,1,0,0,0,0
2.11,0.09,0.0,6.43,0.61,1,1,0,0,0,0
2.62,0.56,0.0,10.45,0.5,0,0,0,0,0,0
2.39,0.11,0.0,7.37,0.65,1,1,0,0,0,0
1.16,19.86,0.0,6.63,0.74,1,1,20,334,2,0
1.88,0.08,0.0,5.73,8.13,1,1,0,0,0,0
3.26,0.05,17.5,5.91,0.2,1,1,0,0,2,0
2.22,0.1,0.0,5.58,1.25,1,1,50,835,2,0
1.92,56.81,0.0,11.98,0.76,0,0,50,835,1,0
2.39,20.4,0.0,10.58,3.43,0,0,20,334,2,0
2.47,0.12,0.0,5.64,0.34,1,1,0,0,0,0
0.61,0.36,30.0,5.95,0.53,1,1,80,1336,2,0
2.73,20.3,2.5,6.62,1.08,1,1,20,334,2,0
1.54,13.47,0.0,6.93,1.06,1,1,10,167,2,0
0.16,0.07,0.0,10.78,0.57,0,0,100,1670,1,0
2.73,0.07,17.5,11.68,0.84,0,0,0,0,0,0
2.57,9.97,0.0,17.54,0.48,0,0,10,167,1,0
2.11,9.51,0.0,7.11,0.78,1,1,20,334,1,0
1.38,0.1,0.0,5.73,0.35,1,1,0,0,0,0
1.89,0.03,0.0,7.32,0.4,1,1,0,0,2,0
1.59,14.51,15.0,7.8,0.31,1,1,10,167,2,0
3.07,38.39,20.0,10.0,0.87,0,0,10,167,2,0
2.37,0.14,0.0,11.16,0.82,0,0,0,0,0,0
0.69,56.26,35.0,5.49,0.67,1,1,80,1336,1,0
5.32,0.1,0.0,7.72,0.53,1,1,20,334,2,0
2.44,0.07,0.0,10.3,0.56,0,0,0,0,1,0
1.38,19.68,0.0,8.28,1.05,0,0,20,334,1,0
2.58,5.02,0.0,11.12,1.33,0,0,10,167,2,0
1.66,11.84,0.0,7.28,0.54,1,1,10,167,2,0
0.52,53.92,22.5,6.17,0.58,1,1,50,835,2,0
1.62,0.12,0.0,5.52,0.23,1,1,0,0,0,0
1.83,2.84,0.0,10.49,0.81,0,0,10,167,1,0
0.26,4.97,35.0,1034.97,0.81,1,1,100,1670,2,1
2.41,81.92,5.0,6.34,0.81,1,1,80,1336,2,0
1.99,19.89,2.5,4.99,0.44,1,1,20,334,2,0
1.43,59.36,7.5,7.53,0.64,1,1,80,1336,1,0
1.7,0.06,0.0,5.78,0.4,1,1,0,0,0,0
1.95,0.05,0.0,5.75,0.39,1,1,0,0,0,0
2.14,0.12,0.0,10.76,0.94,0,0,0,0,0,0
